UID,Manager UID,First,Last,Email,User Name,Department,Title,Password
1,2,Rafael,West,lucillawunsch@jones.info,anita.lesch,Beauty,Government Manager,sauce
2,2,Lavinia,Quigley,wally@robellittel.net,freddie,Electronics & Automotive,Marketing Consultant,secret
3,3,Janeen,Schuppe,klaraquitzon@durgan.com,giovanni,Baby & Books,Global Education Engineer,secret
4,2,Phillip,Lockman,mervinrolfson@wolff.net,claria.nolan,"Beauty, Outdoors & Home",Internal Sales Director,secret
5,2,Kara,Breitenberg,loisward@lynch.net,charles.berge,Electronics & Automotive,Marketing Executive,secret
6,3,Crystle,Sauer,travisroberts@hintz.info,genesis,"Music, Garden & Tools",Government Manager,secret
7,2,Albertina,Reynolds,stefanyullrich@robeldamore.biz,haywood,Jewelry & Outdoors,Government Manager,secret
8,2,Marvella,Parker,sidbogan@cristkuhic.co,shirleen,Books,Construction Coordinator,secret
9,3,Carita,Hartmann,christene@raynorstanton.co,cleveland,Shoes & Automotive,Global Education Engineer,secret
10,2,Emelda,Dickens,ania@hauckschiller.org,marianne,Industrial,Education Executive,secret
11,3,Jesus,King,arlettareynolds@jacobs.co,jerold,Garden & Kids,Direct Consulting Planner,secret
12,2,Emma,Windler,katrina@abbott.info,albert,Electronics & Home,Global Executive,secret
13,2,Adrian,Abbott,louettamarvin@daugherty.name,napoleon.hirthe,Grocery & Clothing,Advertising Assistant,secret
14,2,Quintin,Reichert,wiltonstiedemann@kozey.name,titus,"Jewelry, Clothing & Kids",Forward Marketing Liaison,secret
15,3,Sina,Herman,tarenbayer@bayerbednar.org,vanetta.ondricka,"Health, Baby & Tools",Internal Sales Director,secret
16,2,Jennette,Leuschke,kareenleannon@ko.net,maurita.harvey,"Music, Toys & Electronics",Regional Manufacturing Orchestrator,secret
17,2,Arron,Volkman,malenawalter@sawayn.info,sebastian,"Beauty, Outdoors & Home",Forward Marketing Liaison,secret
18,2,Antonietta,Grant,rodney@beier.info,augustus.lind,Jewelry & Movies,Legacy Advertising Developer,secret
19,2,Douglas,Bode,walterbahringer@renner.net,diana,Electronics & Automotive,Design Producer,secret
20,3,Trey,Runolfsdottir,dayna@toy.net,jonas,"Health, Baby & Tools",Design Producer,secret
